x,y
16,12,
16,14,
16,16,
16,18,
16,20,
16,22,
16,24,
16,26,
16,28,
16,30,
16,32,
16,34,
16,36,
16,38,
16,40,
16,42,
16,44,
16,46,
16,48,
16,50,
16,52,
16,54,
16,56,
16,58,
16,60,
16,62,
16,64,
16,66,
16,68,
16,70,
16,72,
16,74,
16,76,
16,78,
16,80,
16,82,
16,84,
18,0,
18,2,
18,4,
18,6,
18,8,
18,10,
18,12,
18,14,
18,16,
18,18,
18,20,
18,22,
18,24,
18,26,
18,28,
18,30,
18,32,
18,34,
18,36,
18,38,
18,40,
18,42,
18,44,
18,46,
18,48,
18,50,
18,52,
18,54,
18,56,
18,58,
18,60,
18,62,
18,64,
18,66,
18,68,
18,70,
18,72,
18,74,
18,76,
18,78,
18,80,
18,82,
20,0,
20,2,
20,4,
20,6,
20,8,
20,10,
20,12,
20,14,
20,16,
20,18,
20,20,
20,22,
20,24,
20,26,
20,28,
20,30,
20,32,
20,34,
20,36,
20,38,
20,40,
20,42,
20,44,
20,46,
20,48,
20,50,
20,52,
20,54,
20,56,
20,58,
20,60,
20,62,
20,64,
20,66,
20,68,
20,70,
20,72,
20,74,
20,76,
20,78,
20,80,
22,0,
22,2,
22,4,
22,6,
22,8,
22,10,
22,12,
22,14,
22,16,
22,18,
22,20,
22,22,
22,24,
22,26,
22,28,
22,30,
22,32,
22,34,
22,36,
22,38,
22,40,
22,42,
22,44,
22,46,
22,48,
22,50,
22,52,
22,54,
22,56,
22,58,
22,60,
22,62,
22,64,
22,66,
22,68,
22,70,
22,72,
22,74,
22,76,
22,78,
24,0,
24,2,
24,4,
24,6,
24,8,
24,10,
24,12,
24,14,
24,16,
24,18,
24,20,
24,22,
24,24,
24,26,
24,28,
24,30,
24,32,
24,34,
24,36,
24,38,
24,40,
24,42,
24,44,
24,46,
24,48,
24,50,
24,52,
24,54,
24,56,
24,58,
24,60,
24,62,
24,64,
24,66,
24,68,
24,70,
24,72,
24,74,
24,76,
26,0,
26,2,
26,4,
26,6,
26,8,
26,10,
26,12,
26,14,
26,16,
26,18,
26,20,
26,22,
26,24,
26,26,
26,28,
26,30,
26,32,
26,34,
26,36,
26,38,
26,40,
26,42,
26,44,
26,46,
26,48,
26,50,
26,52,
26,54,
26,56,
26,58,
26,60,
26,62,
26,64,
26,66,
26,68,
26,70,
26,72,
26,74,
28,0,
28,2,
28,4,
28,6,
28,8,
28,10,
28,12,
28,14,
28,16,
28,18,
28,20,
28,22,
28,24,
28,26,
28,28,
28,30,
28,32,
28,34,
28,36,
28,38,
28,40,
28,42,
28,44,
28,46,
28,48,
28,50,
28,52,
28,54,
28,56,
28,58,
28,60,
28,62,
28,64,
28,66,
28,68,
28,70,
28,72,
30,0,
30,2,
30,4,
30,6,
30,8,
30,10,
30,12,
30,14,
30,16,
30,18,
30,20,
30,22,
30,24,
30,26,
30,28,
30,30,
30,32,
30,34,
30,36,
30,38,
30,40,
30,42,
30,44,
30,46,
30,48,
30,50,
30,52,
30,54,
30,56,
30,58,
30,60,
30,62,
30,64,
30,66,
30,68,
30,70,
32,0,
32,2,
32,4,
32,6,
32,8,
32,10,
32,12,
32,14,
32,16,
32,18,
32,20,
32,22,
32,24,
32,26,
32,28,
32,30,
32,32,
32,34,
32,36,
32,38,
32,40,
32,42,
32,44,
32,46,
32,48,
32,50,
32,52,
32,54,
32,56,
32,58,
32,60,
32,62,
32,64,
32,66,
32,68,
34,0,
34,2,
34,4,
34,6,
34,8,
34,10,
34,12,
34,14,
34,16,
34,18,
34,20,
34,22,
34,24,
34,26,
34,28,
34,30,
34,32,
34,34,
34,36,
34,38,
34,40,
34,42,
34,44,
34,46,
34,48,
34,50,
34,52,
34,54,
34,56,
34,58,
34,60,
34,62,
34,64,
34,66,
36,0,
36,2,
36,4,
36,6,
36,8,
36,10,
36,12,
36,14,
36,16,
36,18,
36,20,
36,22,
36,24,
36,26,
36,28,
36,30,
36,32,
36,34,
36,36,
36,38,
36,40,
36,42,
36,44,
36,46,
36,48,
36,50,
36,52,
36,54,
36,56,
36,58,
36,60,
36,62,
36,64,
38,0,
38,2,
38,4,
38,6,
38,8,
38,10,
38,12,
38,14,
38,16,
38,18,
38,20,
38,22,
38,24,
38,26,
38,28,
38,30,
38,32,
38,34,
38,36,
38,38,
38,40,
38,42,
38,44,
38,46,
38,48,
38,50,
38,52,
38,54,
38,56,
38,58,
38,60,
38,62,
40,0,
40,2,
40,4,
40,6,
40,8,
40,10,
40,12,
40,14,
40,16,
40,18,
40,20,
40,22,
40,24,
40,26,
40,28,
40,30,
40,32,
40,34,
40,36,
40,38,
40,40,
40,42,
40,44,
40,46,
40,48,
40,50,
40,52,
40,54,
40,56,
40,58,
40,60,
42,0,
42,2,
42,4,
42,6,
42,8,
42,10,
42,12,
42,14,
42,16,
42,18,
42,20,
42,22,
42,24,
42,26,
42,28,
42,30,
42,32,
42,34,
42,36,
42,38,
42,40,
42,42,
42,44,
42,46,
42,48,
42,50,
42,52,
42,54,
42,56,
42,58,
44,0,
44,2,
44,4,
44,6,
44,8,
44,10,
44,12,
44,14,
44,16,
44,18,
44,20,
44,22,
44,24,
44,26,
44,28,
44,30,
44,32,
44,34,
44,36,
44,38,
44,40,
44,42,
44,44,
44,46,
44,48,
44,50,
44,52,
44,54,
44,56,
46,0,
46,2,
46,4,
46,6,
46,8,
46,10,
46,12,
46,14,
46,16,
46,18,
46,20,
46,22,
46,24,
46,26,
46,28,
46,30,
46,32,
46,34,
46,36,
46,38,
46,40,
46,42,
46,44,
46,46,
46,48,
46,50,
46,52,
46,54,
48,0,
48,2,
48,4,
48,6,
48,8,
48,10,
48,12,
48,14,
48,16,
48,18,
48,20,
48,22,
48,24,
48,26,
48,28,
48,30,
48,32,
48,34,
48,36,
48,38,
48,40,
48,42,
48,44,
48,46,
48,48,
48,50,
48,52,
50,0,
50,2,
50,4,
50,6,
50,8,
50,10,
50,12,
50,14,
50,16,
50,18,
50,20,
50,22,
50,24,
50,26,
50,28,
50,30,
50,32,
50,34,
50,36,
50,38,
50,40,
50,42,
50,44,
50,46,
50,48,
50,50,
52,0,
52,2,
52,4,
52,6,
52,8,
52,10,
52,12,
52,14,
52,16,
52,18,
52,20,
52,22,
52,24,
52,26,
52,28,
52,30,
52,32,
52,34,
52,36,
52,38,
52,40,
52,42,
52,44,
52,46,
52,48,
54,0,
54,2,
54,4,
54,6,
54,8,
54,10,
54,12,
54,14,
54,16,
54,18,
54,20,
54,22,
54,24,
54,26,
54,28,
54,30,
54,32,
54,34,
54,36,
54,38,
54,40,
54,42,
54,44,
54,46,
56,0,
56,2,
56,4,
56,6,
56,8,
56,10,
56,12,
56,14,
56,16,
56,18,
56,20,
56,22,
56,24,
56,26,
56,28,
56,30,
56,32,
56,34,
56,36,
56,38,
56,40,
56,42,
56,44,
58,0,
58,2,
58,4,
58,6,
58,8,
58,10,
58,12,
58,14,
58,16,
58,18,
58,20,
58,22,
58,24,
58,26,
58,28,
58,30,
58,32,
58,34,
58,36,
58,38,
58,40,
58,42,
60,0,
60,2,
60,4,
60,6,
60,8,
60,10,
60,12,
60,14,
60,16,
60,18,
60,20,
60,22,
60,24,
60,26,
60,28,
60,30,
60,32,
60,34,
60,36,
60,38,
60,40,
62,0,
62,2,
62,4,
62,6,
62,8,
62,10,
62,12,
62,14,
62,16,
62,18,
62,20,
62,22,
62,24,
62,26,
62,28,
62,30,
62,32,
62,34,
62,36,
62,38,
64,0,
64,2,
64,4,
64,6,
64,8,
64,10,
64,12,
64,14,
64,16,
64,18,
64,20,
64,22,
64,24,
64,26,
64,28,
64,30,
64,32,
64,34,
64,36,
66,0,
66,2,
66,4,
66,6,
66,8,
66,10,
66,12,
66,14,
66,16,
66,18,
66,20,
66,22,
66,24,
66,26,
66,28,
66,30,
66,32,
66,34,
68,0,
68,2,
68,4,
68,6,
68,8,
68,10,
68,12,
68,14,
68,16,
68,18,
68,20,
68,22,
68,24,
68,26,
68,28,
68,30,
68,32,
70,0,
70,2,
70,4,
70,6,
70,8,
70,10,
70,12,
70,14,
70,16,
70,18,
70,20,
70,22,
70,24,
70,26,
70,28,
70,30,
72,0,
72,2,
72,4,
72,6,
72,8,
72,10,
72,12,
72,14,
72,16,
72,18,
72,20,
72,22,
72,24,
72,26,
72,28,
74,0,
74,2,
74,4,
74,6,
74,8,
74,10,
74,12,
74,14,
74,16,
74,18,
74,20,
74,22,
74,24,
74,26,
76,0,
76,2,
76,4,
76,6,
76,8,
76,10,
76,12,
76,14,
76,16,
76,18,
76,20,
76,22,
76,24,
78,0,
78,2,
78,4,
78,6,
78,8,
78,10,
78,12,
78,14,
78,16,
78,18,
78,20,
78,22,
80,0,
80,2,
80,4,
80,6,
80,8,
80,10,
80,12,
80,14,
80,16,
80,18,
80,20,
82,0,
82,2,
82,4,
82,6,
82,8,
82,10,
82,12,
82,14,
82,16,
82,18,
84,0,
84,2,
84,4,
84,6,
84,8,
84,10,
84,12,
84,14,
84,16,
86,0,
86,2,
86,4,
86,6,
86,8,
86,10,
86,12,
86,14,
88,0,
88,2,
88,4,
88,6,
88,8,
88,10,
88,12,
90,0,
90,2,
90,4,
90,6,
90,8,
90,10,
92,0,
92,2,
92,4,
92,6,
92,8,
94,0,
94,2,
94,4,
94,6,
96,0,
96,2,
96,4,
98,0,
98,2,
100,0,
